user_posting_tweet,user_mentioned,Type
yasminadaus,YouTube,0
yasminadaus,YouTube,0
haunt3dWinGz,YouTube,0
ovrcome,BillClinton,0
DLifestyler1,KingJames,0
DLifestyler1,KingJames,0
oodvit,YouTube,0
sherrieinprovo,YouTube,0
DougBfresh2,SHAQ,0
DougBfresh2,SHAQ,0
DougBfresh2,SHAQ,0
shortguytim,YouTube,0
dcsheriff,YouTube,0
lindsalexandra,maddow,0
brucemasonjr,maddow,0
RLAlvarado1976,maddow,0
kirkdhansen,maddow,0
AngAngieAngela,maddow,0
_binarynumber,elonmusk,0
Kaileylovesu,YouTube,0
inamghafoor,BillGates,0
Rockettes,ActuallyNPH,0
stephanayye_,TheEllenShow,0
ysvcv,MTV,0
jongikz,verge,0
jackiekhalifa_,wizkhalifa,0
sapphospickle,ddlovato,0
trey3fan,YouTube,0
StacyJCarlson,YouTube,0
krithikagm,BillGates,0
cclegp,BillGates,0
DavidDuarTech,BillGates,0
casa716,YouTube,0
lizlovesoreos,onedirection,0
kris_jprice,YouTube,0
DCBri,BillGates,0
DCBri,elonmusk,0
MMcAndrews13,KingJames,0
Sahandram,YouTube,0
graziemartinsj,ddlovato,0
Snugbucket,Google,0
djfleekyniks,ddlovato,0
AbirRoyOfficial,Forbes,0
K84tay,katyperry,0
0DaniCh,YouTube,0
DFlex2123,TIME,0
andrewpickup,BillGates,0
andrewpickup,elonmusk,0
ETHANLILIENSTE4,YouTube,0
dwalsh017,YouTube,0
voterof1D,onedirection,0
ipranith,Microsoft,0
ipranith,BillGates,0
mobileholly,TIME,0
abbyschoffstall,TheEllenShow,0
27sec,YouTube,0
MrGerry,YouTube,0
MrGerry,YouTube,0
noahweissman,YouTube,0
gunnarhalley,YouTube,0
Fishin_Faculak_,blakeshelton,0
MrGerry,YouTube,0
katykicksass,katyperry,0
CavsMatt,KingJames,0
allan_swannu,YouTube,0
kimberlyjang,hootsuite,0
neniii77,YouTube,0
TheHansonson,YouTube,0
kevinernste,SarahKSilverman,0
kevinernste,BillGates,0
KarenRenaeOwens,enews,0
guidorosso,BillGates,0
MrGerry,YouTube,0
gadixie1,YouTube,0
OnlyLgN,YouTube,0
JeffBrown92,KDTrey5,0
yachachiq,YouTube,0
pageraum,YouTube,0
iannwu,BillGates,0
MrGerry,YouTube,0
MrGerry,YouTube,0
MrGerry,YouTube,0
keishaervin,YouTube,0
JNNP_BMJ,BillGates,0
BESTYELLOW,Forbes,0
CameronMalone28,Cristiano,0
_NineAnutza,YouTube,0
ThisIsTheEndUSA,YouTube,0
Banteola_TheBee,YouTube,0
Beamster_T2P,Eminem,0
Beamster_T2P,BarackObama,0
abazan9,YouTube,0
Colour_BarsAU,YouTube,0
megLvstoTweet,YouTube,0
HartleKim,enews,0
walterort,YouTube,0
MrsPGTaylor316,YouTube,0
rishbest,YouTube,0
MrGerry,YouTube,0
b0ggzLEE,MLB,0
MauricioJusto_,BillGates,0
benlieber4ever,justinbieber,0
GuzSku,YouTube,0
Invincible25X,YouTube,0
tytimmon,Beyonce,0
sibrenvanesfit,YouTube,0
lazzuri,verge,0
kichanbostero,Cristiano,0
ABigBowlOfChips,YouTube,0
MrGerry,YouTube,0
Tropcaliente,YouTube,0
ixrated,BillGates,0
studiofalcony,YouTube,0
studiofalcony,YouTube,0
GuisemOwn,enews,0
HootsuiteLife,hootsuite,0
MrGerry,YouTube,0
fjvelazco,BillGates,0
MrGerry,YouTube,0
CVlmao,YouTube,0
fatguydiary,YouTube,0
jaykogami,verge,0
The_Boris7,TheRock,0
AANEMorg,YouTube,0
ManuelPecCan,YouTube,0
CartyBrencarty,enews,0
Bills_Fan_1990,JohnCena,0
VirtualStealth,YouTube,0
JeffAyling,YouTube,0
AyDashTee,YouTube,0
MrGerry,YouTube,0
ABigBowlOfChips,YouTube,0
naturalgeorge,YouTube,0
justinerbenard,BarackObama,0
MrGerry,YouTube,0
CameronMalone28,Cristiano,0
LEGENDxTAZ,YouTube,0
MrGerry,YouTube,0
ShawnOfLovesac,richardbranson,0
MrGerry,YouTube,0
FBcoachMitchell,YouTube,0
AyDashTee,YouTube,0
J2GALI,YouTube,0
HindsShannon,onedirection,0
HindsShannon,ddlovato,0
hockey_madness,YouTube,0
tzomick,ABC,0
mndaustralia,BillGates,0
TwiggiPlumBrand,YouTube,0
FBcoachMitchell,YouTube,0
MrGerry,YouTube,0
watercolortear,katyperry,0
bobby_lamb,YouTube,0
sjreom,YouTube,0
KarenWahlberg75,YouTube,0
shareyourshare,mashable,0
NomarTPK,YouTube,0
MrGerry,YouTube,0
princessnancee,YouTube,0
MrGerry,YouTube,0
jacy_heide,KevinHart4real,0
derby_jeremiah,YouTube,0
itsbarIos,KDTrey5,0
itsbarIos,KingJames,0
itsbarIos,KDTrey5,0
scottyoungfit,YouTube,0
viniciusad,YouTube,0
efahmi,YouTube,0
lovatombre,ddlovato,0
Waka_Shloka,KimKardashian,0
KingFrench23,KingJames,0
KingFrench23,KDTrey5,0
ozzystudio,YouTube,0
jovicasie,TIME,0
thehalalone,YouTube,0
LifeofArielL,YouTube,0
kahwooi_tan,verge,0
Techchaser,TIME,0
GreG_HouSe_TM,YouTube,0
KatysFirework19,katyperry,0
GloireAmani,BillGates,0
StephenLangsam,NFL,0
BobTheTeacher,YouTube,0
vaquinton1,ddlovato,0
SFHSLaCanadaCA,YouTube,0
jiluliavieve,taylorswift13,0
watercolortear,katyperry,0
gaz_b1979,BBCBreaking,0
mariualbano,YouTube,0
shygalxoxo_,ddlovato,0
MIKE_BROWNS_UK,KingJames,0
missmisti,Starbucks,0
goryoinsam,YouTube,0
virjog,BillGates,0
virjog,elonmusk,0
TerMonroe,TIME,0
CR7_prensa,Cristiano,0
_kailiem,katyperry,0
jamieizskye,MLB,0
MowiYT,YouTube,0
elbignoggin,ddlovato,0
FckUimScottish,RobertDowneyJr,0
LAMAAANTA,YouTube,0
Kelsi_Lauryn_16,YouTube,0
CJPenido,YouTube,0
lendamiano,YouTube,0
ana__islas,YouTube,0
alexboeira,YouTube,0
smcslothsloth,BillGates,0
iSnake_x,YouTube,0
gamcphee,USATODAY,0
GrayGhost1421,YouTube,0
Chrysanthvs,chrisbrown,0
FLORINFANZON,enews,0
Abril7,YouTube,0
necrogamesage,YouTube,0
mandolin1001,YouTube,0
sparkles121113_,ddlovato,0
kjohan73,verge,0
DocTalbott,YouTube,0
laneo123,YouTube,0
mmunozzzz28,KevinHart4real,0
triswimrob,YouTube,0
Sebbyz,YouTube,0
MarkVozzo,elonmusk,0
MarkVozzo,BillGates,0
SirTylerBurns,TheOnion,0
cafeicultura,YouTube,0
lil_skyscraper_,ddlovato,0
BenIrwinG,YouTube,0
andres_vip,Pontifex,0
EasternShorb,katyperry,0
ehoantonio,YouTube,0
mohamme00588919,YouTube,0
smartshoot,YouTube,0
callmecase,YouTube,0
Swifty448,taylorswift13,0
katiebethmusic,YouTube,0
SGomezRare_,YouTube,0
saoirse_rae97,YouTube,0
Jasski81,YouTube,0
Vidur_Patel,BillGates,0
SelenatoorTeam,selenagomez,0
wonwoodaesang,onedirection,0
EazeeBREEZY1,chrisbrown,0
Abril7,YouTube,0
mandolin1001,ABC,0
